title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
Adrenaline Rush: Highway Extreme Traffic Racer,12.99,1.99,,,,,18-05-2024,VRCFORGE STUDIOS,Auto Racing
Little Mouse's Encyclopedia,19.5,2.99,,,,,23-04-2021,RedDeerGames,Adventure
Morbid: The Lords of Ire,45.0,36.0,61,4,,,23-05-2024,Merge Games,Action RPG
Astro Bears,10.99,1.5,66,5,7.1,16,19-07-2019,SONKA,Party
Session: Skate Sim Deluxe Edition,90.0,27.0,67,24,5.3,27,22-09-2022,Nacon,Skating
Uphill Rush Water Park Racing,15.0,1.5,,,,,26-01-2023,7Levels,Arcade Racing
"Wash Simulator - Clean Garage, House, Cars Business Tycoons",22.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ecchi Paradise: Fantasy Edition,14.6,3.99,,,,,15-03-2024,QubicGames,Puzzle
"Haiku, the Robot",29.95,16.47,79,5,8.4,13,09-09-2022,Mister Morris Games,Metroidvania
Light Fairytale Episode 1,15.0,3.75,,,,,13-05-2019,neko.works,JRPG
Zombieland: Double Tap- Road Trip,69.99,6.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fibbage XL,15.0,6.75,,,,,24-03-2016,"Jackbox Games, Inc.",Trivia
Genetic Disaster,22.5,2.25,,,,,,,Top-Down Shoot-'Em-Up
Crown Trick,29.95,7.48,83,12,7.3,28,16-10-2020,NExT Studios,Roguelike
20 Minutes Till Dawn,6.99,4.89,,,6.7,19,08-06-2022,flanne,Top-Down Shoot-'Em-Up
Cynthia: Hidden in the Moonshadow - Premium Edition,22.5,14.85,,,,,10-04-2023,Catthia Games,Action Adventure
"Warhammer 40,000: Dakka Squadron FLYBOYZ EDITION",30.0,15.0,,,,,18-02-2021,Phosphor Game Studios,Aircraft Combat Sim
Sunland Town,7.5,6.0,,,,,15-11-2023,Morning Shift Studios,First-Person Adventure
112 Operator,29.99,1.5,73,10,7.2,30,23-04-2020,Games Operators,Strategy
Arcade Archives NEW RALLY-X,10.5,7.35,43,9,,,27-12-2006,Namco Bandai Games,Arcade
Prison Life Simulator 2022 - World FIGHT Battle ULTIMATE,19.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cluedo: The Complete Detective’s Bundle,49.98,24.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chess Minimal,7.5,3.75,,,2.0,7,06-11-2020,Hook Games,Board
Quiplash,15.0,6.75,83,4,7.5,11,30-06-2015,"Jackbox Games, Inc.",Trivia
Neoverse Trinity Edition,29.49,8.84,62,11,,,21-01-2021,Undefined,JRPG
Splatter - Zombiecalypse Now + The Hong Kong Massacre,42.0,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
World War Battle Heroes Field Armies Call of Prison Duty Simulator,7.5,1.5,,,,,05-01-2023,VG Games,Third Person Shooter
Arcade Archives TANK FORCE,10.5,7.35,,,,,19-01-2023,Hamster,Top-Down Shoot-'Em-Up
Fishing: North Atlantic,37.5,3.75,,,,,30-06-2021,Misc Games,Marine Sim
Tangram Collection: The T Bundle,3.75,2.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knights & Guns Definitive Edition,24.0,1.5,,,,,16-09-2022,Baltoro Games,Vertical Shoot-'Em-Up
Color Road: Complete Edition,9.0,3.0,,,,,01-02-2018,Voodoo,Arcade
Hentai Girls: Idol Romance,9.89,3.29,,,,,23-05-2024,Pakotime,Puzzle
Nine Nights - Martial Ci Lang Story,15.99,3.99,,,,,31-05-2024,404 Games,3D Beat-'Em-Up
Syndrome,34.99,2.79,56,18,5.6,19,06-10-2016,Camel 101,Survival
Arcade Archives PAC-MANIA,10.5,7.35,,,,,25-11-2010,Namco Networks America,Arcade
Merge Your Room,14.99,1.5,,,,,29-07-2022,Prison Games,Action Puzzle
V-Rally 4 Ultimate Edition,105.0,10.5,58,28,5.6,30,11-09-2018,Bigben Interactive,Auto Racing
Sherlock Holmes The Awakened – Deluxe Edition,79.99,23.99,75,24,7.3,43,11-04-2023,Frogwares Ireland ltd,Third-Person Adventure
Monster Truck Championship Rebel Hunter Edition,75.0,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sumire,19.5,3.9,86,17,7.9,15,27-05-2021,GameTomo,Adventure
Greak: Memories of Azur,28.95,7.23,74,17,7.2,25,17-08-2021,Sold Out,Metroidvania
Astronomical Club For Queers,15.0,2.99,,,,,23-12-2022,RedDeerGames,Adventure
Backpack Hero,28.5,22.8,76,6,6.3,7,14-11-2023,Different Tales,Roguelike
Dig Deep: Complete Edition,10.5,4.49,,,,,01-06-2016,Noodlecake Studios,2D Platformer
Sherlock Purr 2,29.99,2.99,,,,,15-03-2024,COMMANDO PANDA,Hidden Object
For a Vast Future Platinum Edition,21.75,2.99,,,,,01-11-2022,Retreaux Games,JRPG
Brain Memory 2 Deluxe Edition,8.25,2.99,,,,,22-03-2024,RedDeerGames,Edutainment
Horse Tales: Emerald Valley Ranch - Deluxe,69.99,34.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ken Follett's The Pillars of the Earth,30.0,3.0,78,21,8.0,98,15-08-2017,Daedalic Entertainment,Visual Novel
Leisure Suit Larry - Wet Dreams Saga,97.5,9.75,,,,,10-05-2024,Red Art Games,Compilation
Light Fairytale Episode 2,15.0,3.75,,,,,29-10-2021,neko.works,JRPG
Asterix & Obelix Collection,75.0,25.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACA NEOGEO BASEBALL STARS PROFESSIONAL,10.5,5.25,,,,,17-05-2018,Hamster,Baseball
LEGRAND LEGACY: Tale of the Fatebounds,30.0,6.0,67,10,6.5,31,24-01-2018,SEMISOFT,JRPG
Ben 10: Power Trip!,45.0,22.5,,,4.1,19,09-10-2020,Outright Games,3D Platformer
Cooking Tycoons - 3 in 1 Bundle,19.5,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spider Solitaire,13.5,1.5,,,,,17-01-2020,Baltoro Games,Board
Game Dev Tycoon,22.5,11.25,68,21,8.0,1239,28-04-2013,Greenheart Games,Tycoon
Amazing Coloring Books Bundle,13.5,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Operate Now: Hospital,15.0,3.0,,,,,04-05-2017,SPIL GAMES,Virtual Career
Pixel Cafe Extended Edition,20.25,8.1,,,7.8,4,30-11-2023,Baltoro Games,Strategy
S.N.I.P.E.R. - Hunter Scope GOTY Edition,24.0,1.5,,,7.2,5,20-11-2020,Baltoro Games,Light Gun
Truckzilla - Monster Truck Mega Ramp,19.99,1.99,,,,,24-12-2023,GameToTop Corp.,Auto Racing
AAA Clock Ultra Superb Edition,18.0,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Cat & His Boy,4.5,3.6,,,,,,RAWR Lab,Adventure
Fatum Betula,8.25,1.5,65,4,,,20-01-2022,Baltoro Games,First-Person Adventure
Headbangers: Rhythm Royale,29.5,14.75,74,5,6.1,10,31-10-2023,Team17,Rhythm
3 in 1 - Multiplayer Bundle,42.0,2.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tennis World Tour - Roland-Garros Edition,90.0,9.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Big Buck Hunter Arcade,30.0,3.0,,,,,25-10-2016,GameMill Entertainment,Hunting
Air Conflicts: Pacific Carriers,30.0,6.0,,,,,07-12-2012,bitComposer,Aircraft Combat Sim
BE-A Walker,14.99,1.5,,,,,28-02-2020,SONKA,Action
Atelier Marie Remake: The Alchemist of Salburg Digital Deluxe Edition,97.5,58.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Evidence Destroyer,3.75,3.0,,,,,23-05-2024,Mask,Hidden Object
Offroad Truck 4x4 Dirt Simulator - Rally Racing Game,14.9,1.5,,,,,29-06-2023,VG Games,Vehicle Sim
Pixel Paint 2 GOTY Edition,20.25,2.99,,,,,02-05-2023,RedDeerGames,Puzzle
"The Gardener Simulator - Plant, Grow, Decorate, Build Sim",22.99,3.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Labyrinthia Nightmares: THE JOURNEY OF LITTLE FLUFFYPUFF,18.99,2.99,,,,,30-03-2024,Success Games,Action Adventure
Rise Eterna,30.0,3.0,54,4,6.8,8,13-05-2021,Forever Entertainment,RPG
My Universe - Doctors & Nurses,69.95,13.99,,,,,13-12-2021,Microids,Virtual Career
Chess Cartoons,6.9,1.72,,,,,19-05-2022,Kistler Benjamin,Board
Gem Wizards Tactics,18.99,1.5,,,,,18-02-2022,RedDeerGames,Turn-Based Tactics
Baby Storm,30.0,3.0,,,,,12-05-2023,Forever Entertainment,Arcade
Armed to the Gears,18.0,1.8,,,,,08-04-2020,Deonn Software ltd.,Real-Time Strategy
Bravery and Greed,29.95,11.98,84,4,,,15-11-2022,Team17,Action RPG
Sherlock Holmes: Crimes and Punishments + Sherlock Holmes: The Devil's Daughter Bundle,75.95,11.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Super Dungeon Maker: DIY Edition,29.99,11.99,70,8,,,03-05-2023,rokaplay,Action Adventure
Arcade Archives BARADUKE,10.5,7.35,,,,,10-11-2022,Hamster,Horizontal Shoot-'Em-Up
Monster Boy and the Cursed Kingdom,59.0,14.75,86,24,8.0,159,04-12-2018,FDG Entertainment,Metroidvania
Syberia 2,45.0,4.5,80,23,8.3,251,30-03-2004,The Adventure Company,Third-Person Adventure
PAN-PAN A tiny big adventure,8.85,1.77,tbd,5,6.8,6,25-08-2016,Might and Delight,Adventure
PLANET ALPHA,15.95,3.19,72,21,7.3,46,04-09-2018,Team17,2D Platformer
Farmer's Dynasty,67.5,6.75,,,,,07-11-2019,Toplitz Productions,Virtual Career
Brick Breaker,15.0,3.0,,,3.2,9,26-04-2016,Bigben Interactive,Arcade
Conduct TOGETHER!,30.0,3.0,80,4,7.5,24,06-12-2018,Northplay ApS,Train Sim
Monster Prom: XXL,23.99,7.43,73,11,6.7,6,21-05-2020,Those Awesome Guys,Adventure
Sushi Time! Complete Edition,10.49,1.5,,,7.8,6,22-03-2019,Baltoro Games,Strategy
WRC 8 Deluxe Edition FIA World Rally Championship,90.0,9.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Narita Boy,37.5,7.5,74,28,7.1,49,30-03-2021,Team17,Action Adventure
Island Maze,4.5,1.5,,,,,20-09-2019,Drageus Games,Action Puzzle
Tropico 6 - Nintendo Switch™ Edition,75.0,37.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paradise Lost,22.5,3.37,66,15,6.3,13,24-03-2021,All in! Games,First-Person Adventure
Slayers X: Terminal Aftermath: Vengance of the Slayer,24.95,21.2,80,6,7.0,7,01-06-2023,No More Robots,FPS
Atelier Marie Remake: The Alchemist of Salburg,75.0,45.0,76,19,9.0,38,13-07-2023,Koei Tecmo Games,JRPG
Super Dino,14.95,1.5,,,,,07-10-2022,Prison Games,Puzzle
A Castle Full of Cats,5.99,2.99,,,,,16-08-2023,Silesia Games,Hidden Object
Stolen Realm,29.25,20.47,,,,,14-10-2021,Burst2Flame Entertainment,Turn-Based Tactics
World of Machines - Tanks War Operation,19.99,1.65,,,,,20-07-2023,GOGAME CONSOLE PUBLISHER,Vehicle Combat Sim
Z Escape: Floaty Edition,9.0,3.0,,,,,29-05-2018,Ervenstar Games,2D Platformer
Golf Guys: Space Edition,9.0,3.0,,,,,08-12-2023,QubicGames,Golf
Submersible Simulator - Discover the Titanic into Ocean,19.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flooded,19.5,4.87,,,,,12-04-2023,Artificial Disasters,Management
PAWfectly Designed,29.95,1.5,,,,,03-11-2023,COMMANDO PANDA,Simulation
The Cub,22.5,13.5,74,20,5.7,18,19-01-2024,Untold Tales,2D Platformer
Sculpt People: Famous Edition,9.0,3.0,,,,,09-11-2020,Crazy Labs,Simulation
Hentai Dating Stories: Brazil,15.0,2.99,,,,,04-05-2024,RedDeerGames,Visual Novel
Hentai Mania,13.5,10.8,,,,,22-05-2024,Big Way,Action
Space Commander: War and Trade,15.0,3.0,62,6,,,13-05-2021,7Levels,Real-Time Strategy
Among Pipes,11.99,1.5,,,,,19-03-2021,Prison Games,Puzzle
Encodya,45.0,4.5,67,18,7.0,22,26-01-2021,Assemble Entertainment,Point-and-Click
Zoo Dentist,14.99,1.5,,,,,16-07-2021,Prison Games,Virtual Career
Circa Infinity Ultimate Edition,16.5,1.5,83,7,6.0,8,28-01-2016,Kenny Sun,2D Platformer
Snug Finder: Complete Edition,15.49,1.54,,,7.1,7,25-06-2022,Soroka Games,Hidden Object
Zombie Dead Smasher - World Simulator Kill Strike Gun Shooter 3D Poly Games 2023,14.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Car Racing Highway Driving Simulator, real parking driver sim speed traffic deluxe 2022",7.99,1.99,,,,,11-08-2022,Midnight Works,Auto Racing
"Drift Horizon Racing, Driving & Parking Trial Simulator Games",39.99,1.99,,,,,18-08-2022,Midnight Works,Auto Racing
Kitten's Head Football: Complete Edition,16.35,1.5,,,,,16-09-2022,Soroka Games,Soccer
Oceanhorn - Monster of Uncharted Seas,19.99,4.99,85,19,7.7,71,14-11-2013,FDG Entertainment,Open-World Action
Shantae and the Pirate's Curse,24.3,12.15,82,18,8.6,143,23-10-2014,WayForward,2D Platformer
The Long Dark,45.0,22.5,77,17,6.8,522,01-08-2017,Hinterland,Survival
Sudoku Universe,10.5,5.25,,,,,18-12-2017,Konstructors Entertainment,Logic Puzzle
Rogue Bit,7.0,2.8,,,,,10-10-2018,Bigosaur,Strategy
Sweet Witches,15.0,1.5,,,,,27-07-2019,Drageus Games,2D Platformer
Fin and the Ancient Mystery,7.5,1.5,56,6,,,03-09-2019,Silesia Games,2D Platformer
Golf With Your Friends - Starter Edition,39.99,13.59,68,12,5.7,49,19-05-2020,Team17,Golf
The Big Journey,7.5,3.75,85,5,,,16-03-2017,Armor Games,2D Platformer
Sudoku Relax 2 Summer Waves,7.65,2.1,,,,,01-08-2019,G-mode,Logic Puzzle
Art Sqool Deluxe Edition,18.0,1.5,46,5,4.5,4,19-11-2020,RedDeerGames,Virtual Career
The Longing,21.99,16.49,79,9,8.1,36,05-03-2020,Studio Seufz,Adventure
Warplanes Bundle,22.5,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Super Box Delivery: Beyond the Horizon,7.49,1.5,,,,,29-09-2023,Revulo Games,Auto Racing
Bus Simulator 2023: City Driver,19.99,2.99,,,,,21-07-2023,Midnight Works,Vehicle Sim
Doug's Nightmare,8.99,7.19,,,,,22-05-2024,EastAsiaSoft,Top-Down Shoot-'Em-Up
Horse Racing,13.5,2.7,,,,,01-02-2024,Sabec Limited,Horse Racing
My Bakery Empire: Stylish Edition,15.0,5.0,,,,,10-10-2017,Coco Play,Virtual Career
Stick to the Plan,15.0,13.5,,,,,12-09-2023,Dead Pixel Tales,Action Puzzle
Lumberhill + It came from space and ate our brains,30.0,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gladiatorial Conquest Battle: Arena of Legends,14.99,1.5,,,,,12-01-2024,GOGAME CONSOLE PUBLISHER,3D Beat-'Em-Up
Tales From The Under-Realm: After Midnight,18.0,14.4,,,,,07-10-2022,Winter Wolves Game Studio,Visual Novel
Family Game Mega Pack 14 in 1,67.5,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Math Gym,6.0,3.0,,,,,04-02-2022,Hook Games,Edutainment
Train Station Renovation,28.59,2.85,64,6,,,02-06-2021,Ultimate Games,Virtual Career
Undernauts: Labyrinth of Yomi,73.99,36.99,85,5,8.9,17,28-10-2021,Aksys Games,RPG
"Hashiriya Drifter-Car Racing,Drift,Drag Online Multiplayer Simulator Games Driving Sim.",29.99,1.99,,,,,25-08-2022,Midnight Works,Auto Racing
Stitchy in Tooki Trouble,19.5,1.95,58,13,,,15-04-2021,Polygoat,2D Platformer
Solitaire Card Games,8.85,2.21,,,,,13-05-2021,Kistler Benjamin,Board
Rolling Car,12.0,1.5,,,,,16-04-2022,RedDeerGames,Arcade
Deponia Collection,59.95,5.99,,,,,24-04-2019,Daedalic Entertainment,Compilation
Perseverance: Complete Edition,29.99,2.99,,,,,01-11-2019,Cool Small Games,Adventure
City Super Hero 3D - Flying Legend Warriors Deluxe Simulator,14.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pid Deluxe Edition,30.3,2.99,72,29,8.5,13,31-10-2012,D3Publisher,2D Platformer
Word Search by POWGI,11.99,5.99,67,5,,,12-04-2018,Puzzle On Word Games Inc.,Logic Puzzle
SINNER: Sacrifice for Redemption,28.5,5.7,58,12,4.9,13,18-10-2018,Another Indie,Action Adventure
Red's Kingdom,15.0,3.75,79,5,,,19-01-2017,Cobra Mobile Limited,Action Puzzle
Fishing Universe Simulator,15.0,2.1,,,6.2,6,24-01-2019,Forever Entertainment,Fishing
Moero Crystal H,59.99,29.99,75,11,8.2,5,17-09-2020,EastAsiaSoft,Action RPG
Interrogation: You will be deceived,19.5,1.95,67,12,7.6,14,05-12-2019,Mixtvision,Adventure
Yuppie Psycho: Executive Edition,24.9,9.96,81,16,8.4,73,25-04-2019,Another Indie,Action Adventure
NoReload Heroes Enhanced Edition,34.9,2.79,,,5.7,6,19-07-2018,Forever Entertainment,Top-Down Shoot-'Em-Up
Shantae: Risky's Revenge - Director's Cut,12.6,6.3,72,6,8.5,6,15-10-2020,WayForward,2D Platformer
Shantae,12.45,6.22,74,12,7.5,19,22-04-2021,WayForward,2D Platformer
Hospital Doctor - Fix me up for KIDS (Boys & Girls),13.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anime Sexy Girl Puzzle - Hentai Game History Adventure,22.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anime Beauty Girl Puzzle Extended Edition,24.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crowded Mysteries,5.99,2.25,,,,,20-07-2023,Silesia Games,Hidden Object
Comic Book Legends,55.99,19.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inkulinati,36.0,28.8,78,17,6.9,13,22-02-2024,Daedalic Entertainment,Turn-Based Strategy
nDay Special Edition,27.0,2.99,,,,,16-01-2024,RedDeerGames,Application
Drift Force Xtreme: Ultimate Car Simulator 2024,14.99,2.99,,,,,31-03-2024,Success Games,Auto Racing
Baking Time,7.5,3.75,,,,,03-05-2024,QubicGames,Tycoon
Mixx Island: Remix Plus Amazing Edition,22.5,2.99,,,,,14-04-2023,RedDeerGames,2D Platformer
Knight Sim Life,15.0,4.5,,,,,03-05-2024,SimulaMaker,Virtual Life
Buggy Off-Road Racing,7.5,1.5,,,,,08-03-2024,Baltoro Minis,Auto Racing
Mars Colonization Expedition: Survival Simulator,19.99,3.99,,,,,02-06-2024,DEZVOLT GAMES,Sandbox
Dadish 3D,20.85,16.68,,,,,23-04-2024,Thomas Young,3D Platformer
Team Troopers,23.9,2.39,,,6.0,4,15-04-2021,Kistler Benjamin,Tactical FPS
The Legend of Tianding,30.0,12.0,81,10,7.5,33,01-11-2021,Creative Games Computer Graphics Corporation,2D Beat-'Em-Up
Easy Flight Simulator,7.99,4.79,,,,,31-07-2021,Pix Arts,Aircraft Sim
Pronty,22.5,11.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Insert before flight,18.75,1.87,,,,,03-02-2022,Kistler Benjamin,Aircraft Sim
Asterix & Obelix XXXL – The Ram From Hibernia,69.95,20.98,65,5,,,04-11-2022,Microids,Action Adventure
ABC Search With Me,14.99,1.5,,,,,14-04-2022,Prison Games,Edutainment
RichMan 4 Fun,17.99,13.49,,,,,06-07-2023,SOFTSTAR Entertainment,Board
Ultimate 4x4 Offroad Trucks :Car Racing Driving Simulator 2022,39.99,1.99,,,,,04-08-2022,,Vehicle Sim
Run Sausage Run: Complete Edition,9.0,4.5,,,,,25-11-2022,QubicGames,2D Platformer
Peppa Pig: World Adventures,60.0,36.0,72,5,6.3,24,17-03-2023,Outright Games,Adventure
Shelter Generations,35.95,14.38,60,8,6.0,5,12-04-2018,CIRCLE Entertainment,Compilation
Max: The Curse of Brotherhood,21.99,4.39,72,51,7.4,311,20-12-2013,Microsoft Game Studios,Action Adventure
Blossom Tales: The Sleeping King,19.99,4.99,80,16,7.9,93,21-12-2017,FDG Entertainment,Open-World Action
Shantae: Half- Genie Hero Ultimate Edition,36.45,18.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xenon Racer,22.5,2.25,64,14,5.8,31,26-03-2019,Soedesco,Auto Racing
Lost Castle Deluxe Edition,17.99,12.59,,,5.5,23,31-08-2016,Another Indie,Action RPG
Another Sight,60.0,6.0,,,,,19-01-2022,shingo,Action Puzzle
Golf Peaks,7.5,1.5,78,23,7.5,19,14-03-2019,7Levels,Puzzle
Food Truck Tycoon,7.5,1.5,,,7.8,4,08-02-2019,Baltoro Games,Tycoon
Fly TOGETHER!,22.5,2.25,81,8,,,29-04-2021,Northplay ApS,Tycoon
Battle Axe,42.0,10.5,76,6,5.3,6,29-04-2021,Numskull Games,Action Adventure
Horizon Chase 2,37.95,30.36,77,9,,,30-05-2024,Aquiris Game Studio,Auto Racing
Witchtastic,25.5,19.12,,,,,26-10-2021,Application Systems Heidelberg,Arcade
Party Party Time,5.28,3.69,,,7.0,4,19-12-2022,SAT-BOX,Party
D-Corp,27.0,2.98,,,,,20-09-2021,Frogsong Studios,Defense
Figment 1 + Figment 2,59.0,11.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Need for Drive - Car Racing,14.99,1.66,,,,,25-05-2023,VG Games,Auto Racing
Train Traffic Manager,22.5,1.5,,,,,24-11-2023,Baltoro Games,Action Puzzle
Aquapark io: Complete Edition,12.0,3.0,,,7.4,5,01-09-2023,QubicGames,Arcade Racing
Cat's Cosmic Atlas,30.0,2.99,,,,,17-08-2023,RedDeerGames,Point-and-Click
MeowMatch Special Edition,9.0,2.99,,,,,19-01-2024,RedDeerGames,Matching Puzzle
Bucket Crusher: Cool Kidz Edition,9.0,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trash Punk Premium Edition,15.75,2.23,,,,,25-12-2023,Baltoro Games,Top-Down Shoot-'Em-Up
WWII AIRPLANE FIGHT - Battle War Squad,19.99,3.99,,,,,04-04-2024,VRCFORGE STUDIOS,Aircraft Combat Sim
Heisting: Complete Edition,10.5,3.0,,,,,05-04-2024,QubicGames,Action Adventure
Ecchi Paradise,11.59,3.47,,,,,15-03-2024,QubicGames,Puzzle
nBlocks - Unblock Your Creativity Deluxe Edition,15.75,2.99,,,,,12-04-2024,RedDeerGames,Miscellaneous
Swipe Right or Left Geography Binary Quiz,3.75,3.0,,,,,02-05-2024,Mask,Trivia
Sugoi Girls: Lovely Wife,15.5,5.16,,,,,30-05-2024,Pakotime,Puzzle
Cat Warrior,6.0,5.4,,,,,17-01-2024,Sadi Makes Games,2D Platformer
Burst Hero,16.5,11.55,,,,,15-05-2023,YaYa Game,Top-Down Shoot-'Em-Up
My Coloring Book,7.49,1.5,,,,,26-02-2021,Cool Small Games,Edutainment
Cube Blast: Match,27.0,5.4,,,,,24-06-2021,isTom Games,Matching Puzzle
Red Wings: American Aces Bundle,20.25,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Train Life - Orient-Express Train Edition,60.0,18.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcade Archives XEVIOUS,10.5,7.35,56,10,5.8,14,21-07-2011,Nintendo,Vertical Shoot-'Em-Up
The Suicide of Rachel Foster,31.0,3.1,63,42,6.8,101,19-02-2020,Daedalic Entertainment,First-Person Adventure
Faircroft's Antiques: The Forbidden Crypt Collector's Edition,15.0,1.5,,,,,06-01-2022,Ocean Media,Hidden Object
Kao the Kangaroo: A Well Good Bundle,47.09,14.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ultimate ADOM - Caverns of Chaos,30.0,3.0,,,,,25-08-2021,Assemble Entertainment,Roguelike
3 in 1 - Logic Bundle,12.0,2.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sherlock Holmes and The Hound of The Baskervilles,20.99,2.09,,,7.0,9,12-11-2010,Big Fish Games,Hidden Object
Puzzle Bundle: inbento + Golf Peaks,12.0,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Become The Wild,13.5,2.7,,,,,07-03-2024,Kistler Benjamin,Sandbox
Rumble Sus,6.99,4.89,,,,,23-02-2023,indienova,Party
Crypto Mining Simulator - Ultimate Trading Strategy Tycoon Craft & Idle Game 3D,7.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Castle of Heart,22.9,1.6,53,26,7.0,60,23-03-2018,7Levels,Action Adventure
Urban Trial Playground,22.5,3.37,67,14,6.3,23,05-04-2018,Tate Multimedia,Individual Sports
Last Encounter,19.99,1.59,52,11,,,21-02-2020,Exordium Games,Top-Down Shoot-'Em-Up
Rapala Fishing Pro Series,30.0,3.0,,,2.3,6,24-10-2017,GameMill Entertainment,Fishing
Goosebumps The Game,15.0,3.0,,,5.6,14,13-10-2015,GameMill Entertainment,Point-and-Click
Elli,12.0,4.8,67,11,5.7,9,10-01-2019,Bandana Kid,3D Platformer
Street Basketball,8.99,1.5,,,,,12-04-2019,Baltoro Games,Basketball
The Sinking City,74.0,11.1,71,51,6.0,276,27-06-2019,Frogwares,Survival
Farm Mystery,15.0,1.5,,,,,,Tagstar Publishing,Hidden Object
Jack Axe,22.5,4.5,,,,,06-10-2021,Another Indie,2D Platformer
Marooners,19.5,1.5,58,6,,,06-02-2018,M2H,Party
Ritual: Crown of Horns,29.99,2.99,58,7,7.3,13,07-11-2019,Feardemic,Top-Down Shoot-'Em-Up
RICO: London,45.0,11.25,41,4,,,09-09-2021,Numskull Games,FPS
Deep Diving Adventures,29.99,2.99,,,,,17-06-2022,Jujubee S.A.,Marine Sim
Sudoky,4.5,2.25,,,,,26-06-2020,Nestor Yavorskyy,Logic Puzzle
Cobra Kai: The Karate Kid Saga Continues,59.99,8.99,67,11,6.6,15,27-10-2020,GameMill Entertainment,2D Beat-'Em-Up
Dadish,13.5,10.8,,,8.5,17,14-10-2020,Thomas Young,2D Platformer
Liberated: Enhanced Edition,29.99,4.49,59,33,6.7,30,02-06-2020,Walkabout Games,Linear Action Adventure
Zombie Garden vs Plants Defence -Battle Craft and Survival Simulator Game,7.99,1.58,,,,,29-03-2023,VG Games,Defense
Commandos 2 & 3 - HD Remaster Double Pack,60.0,45.0,,,,,,Kalypso,Compilation
Buddy Simulator 1984,14.99,7.49,79,5,5.5,4,27-10-2022,Feardemic,Adventure
Puzzle Games Bundle (5 in 1),22.5,5.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bounce Journey,4.5,1.5,,,,,24-03-2023,Gametry,Adventure
GOTTA GO FAST: Racing Collection,69.99,23.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kart Crazy Race Simulator Game,7.99,1.58,,,,,02-02-2023,VG Games,Auto Racing
Foxy's Coin Hunt,4.5,1.5,,,,,04-02-2023,Gametry,2D Platformer
Mega Ramp Moto - Dirt Bike Stunts Simulator,19.99,1.65,,,,,29-07-2023,VG Games,Auto Racing
Piano for kids,27.0,2.99,,,,,28-04-2023,RedDeerGames,Miscellaneous
Hidden Cats in London,4.49,2.99,,,,,18-10-2023,Silesia Games,Hidden Object
Hentai Girls: College Crush,9.89,3.29,,,,,15-02-2024,Pakotime,Puzzle
Simulator Bundle: Gas Station Simulator and Barn Finders,45.0,29.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SKELER BOY,11.99,9.59,,,,,31-05-2024,Ratalaika Games,Action Adventure
