title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
Fit My Cat Extended Edition,15.75,2.99,,,,,16-02-2024,RedDeerGames,Puzzle
.cat,12.0,1.5,,,5.8,24,10-04-2021,GAME NACIONAL,2D Platformer
Hotel Hustle,16.5,4.49,,,,,10-05-2024,RedDeerGames,Tycoon
Cop Car Police Simulator Chase - Car games simulator & driving,12.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Escapists 2 - Game of the Year Edition,40.5,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Warhammer 40,000: Mechanicus",60.0,12.0,78,20,8.0,109,15-11-2018,Kasedo Games,Turn-Based Tactics
Witchy Life Story,29.5,20.65,,,,,19-10-2023,Sundew Studios,Visual Novel
WRC 10 Deluxe Edition,90.0,9.0,76,22,6.6,41,02-09-2021,Nacon,Auto Racing Sim
Outlast 2,39.95,9.98,75,52,7.0,898,24-04-2017,Red Barrels,Survival
Offroad Racing - Buggy X ATV X Moto,45.0,9.0,,,,,04-02-2020,Microids,Auto Racing
The GhostX : Sniper Simulator (Tactical Shooting & Eliminator),19.99,1.99,,,,,21-10-2023,GameToTop Corp.,FPS
Roots of Pacha,36.5,27.37,82,7,7.5,19,25-04-2023,Soda Den,Virtual Life
Bus Driving Simulator 22,41.99,4.55,,,,,,,Vehicle Sim
Bee Simulator,60.0,6.0,58,15,5.6,35,14-11-2019,Bigben Interactive,Open-World Action
Cooking Simulator,30.0,3.0,64,4,6.2,39,06-06-2019,PlayWay,Virtual Career
Who Wants to Be a Millionaire? – New Edition,52.95,15.88,,,6.0,4,05-10-2010,Ubisoft,Trivia
Monster Sanctuary,28.95,7.23,74,11,7.9,45,08-12-2020,Team17,Action Adventure
My Horse Stories,12.0,6.0,,,,,31-10-2019,Crazy Labs,Horse Racing
The Jackbox Party Pack 7,40.0,24.0,75,8,8.0,5,15-10-2020,"Jackbox Games, Inc.",Party
THE HOUSE OF THE DEAD: Remake,37.5,9.37,57,41,7.3,71,07-04-2022,Forever Entertainment,Light Gun
Moving Out,37.5,15.0,74,25,7.6,46,28-04-2020,Team17,Virtual Career
Astro Bears + Non-Bears DLC,13.49,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Hong Kong Massacre / BEAUTIFUL DESOLATION Bundle,59.99,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cooking Tycoons 2: 3 in 1 Bundle,19.5,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Minute of Islands,30.0,3.0,73,16,6.2,10,13-06-2021,Mixtvision,Adventure
Panzer Dragoon: Remake,37.5,3.75,63,25,7.5,108,26-03-2020,Forever Entertainment,Rail Shooter
Blasphemous 2,44.95,26.97,84,35,7.8,183,24-08-2023,Team17,Metroidvania
Paint It: Yummy Edition,12.0,1.8,,,,,14-10-2023,Soroka Games,Puzzle
Life Bubble: Complete Edition,16.5,6.6,,,,,26-04-2024,QubicGames,Sandbox
Classic Pool,12.0,1.5,,,,,10-07-2021,Revulo Games,Billiards
Driving School Simulator,22.5,2.99,,,2.6,5,25-09-2014,UIG Entertainment,Vehicle Sim
Football Cup 2023,15.0,3.75,,,,,13-07-2023,7Levels,Soccer Sim
Farm Land: Parrot Edition,9.0,3.0,,,,,23-04-2021,Homa Games,Tycoon
Paw Patrol: On a Roll!,45.0,22.5,,,6.2,19,23-10-2018,Outright Games,2D Platformer
MotoGP™18,24.95,2.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Jackbox Party Pack 8,40.0,24.0,75,8,,,14-10-2021,"Jackbox Games, Inc.",Party
Hauntii,29.99,23.99,82,5,,,23-05-2024,Firestoke,Action Adventure
Only Way Up! Parkour Jump Simulator: Premium Edition,9.99,1.99,,,,,03-10-2023,MoreMoto Games,3D Platformer
Golf With Your Friends,29.95,9.88,68,12,5.7,49,19-05-2020,Team17,Golf
Cooking Arena Lets Burger,3.75,1.5,,,,,09-01-2020,Baltoro Games,Tycoon
Police Simulator 2023,29.99,4.49,,,,,07-11-2022,SC Ovilex Soft,Virtual Career
The Jackbox Party Pack 4,33.0,16.5,74,6,6.9,11,17-10-2017,"Jackbox Games, Inc.",Party
Nora: The Wannabe Alchemist,30.0,3.0,,,,,26-05-2022,Error 300,Visual Novel
Hope's Farm,30.0,1.5,,,,,13-12-2019,Green Sauce Games,Tycoon
My Universe - My Baby,60.0,6.0,,,,,26-11-2020,Microids,Virtual Life
The Jackbox Party Pack,31.5,14.17,78,5,7.8,25,19-11-2014,"Jackbox Games, Inc.",Party
The Jackbox Party Pack 2,31.5,15.75,71,6,6.8,15,13-10-2015,"Jackbox Games, Inc.",Party
Layers of Fear: Legacy,30.0,4.5,80,25,7.1,52,21-02-2018,Bloober Team,First-Person Adventure
Color Water Sort,7.5,1.5,,,,,31-05-2024,QubicGames,Puzzle
Corgi´s Travel,15.0,1.5,,,,,04-05-2024,Nerd Games,Action
Airplane Delivery Simulator 2024: Realistic Geographical,12.99,1.99,,,,,26-05-2024,Success Games,Aircraft Sim
Express Courier Pro: Urban Bike Delivery Simulator 2024!,14.99,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moving Out 2 - Deluxe Edition,47.95,23.97,80,17,6.6,14,15-08-2023,Fireshine Games,Virtual Career
The Jackbox Party Pack 6,42.0,23.1,80,6,8.0,12,17-10-2019,"Jackbox Games, Inc.",Party
Planet of Lana,29.95,23.96,80,39,7.8,173,23-05-2023,Thunderful,Action Adventure
Hentai Stars Platinum Edition,30.75,2.99,,,,,11-08-2023,RedDeerGames,Puzzle
Roman City Tycoon,15.0,4.5,,,,,11-05-2024,SimulaMaker,Tycoon
Sheltered,22.5,4.5,70,14,6.3,16,15-03-2016,Team17,Defense
BIT.TRIP COLLECTION,15.0,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4x4 Offroad Car Exploration,14.9,1.5,,,,,01-09-2023,VG Games,Vehicle Sim
Freaky Trip Complete Edition,27.0,2.99,,,,,06-10-2023,RedDeerGames,Point-and-Click
911 Operator,24.49,1.5,68,8,6.7,76,24-02-2017,PlayWay,Strategy
World Of Solitaire Deluxe Edition,24.0,1.5,,,,,28-07-2023,Baltoro Games,Board
Modern Combat Blackout,12.0,3.0,79,17,7.1,44,24-07-2014,Gameloft,FPS
The Jackbox Party Pack 10,52.5,31.5,74,13,7.0,5,19-10-2023,"Jackbox Games, Inc.",Party
Electronics Puzzle Lab,7.5,6.0,,,,,13-02-2024,Sagitta Studios,Logic Puzzle
Dead Cells,37.5,18.75,89,40,8.3,662,07-08-2018,Motion Twin,Metroidvania
Zombie Defense: Flaming Edition,8.25,3.01,,,,,,,Defense
The Knight Witch,29.95,10.18,79,10,5.9,15,29-11-2022,Team17,Metroidvania
Hokko Life,29.95,14.97,62,12,2.8,4,27-09-2022,Team17,Virtual Life
Blair Witch,45.0,9.0,69,51,6.3,491,30-08-2019,Bloober Team,Survival
Hero's Hour,26.99,18.08,82,9,6.1,16,01-03-2022,Goblinz Studio,Turn-Based Strategy
Stunt Scooter Simulator,19.99,3.99,,,,,05-04-2024,VRCFORGE STUDIOS,Vehicle Sim
